"main_category","category_slug","status","source","version"
"muzik-ekipleri","dugun-orkestrasi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","bayan-orkestra","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","gelin-alma-bandosu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","bando-takimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","dj-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","fasil-ekibi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","mehter-takimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","ilahi-grubu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","dugun-dj","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"muzik-ekipleri","profesyonel-dj","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","dugun-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","kina-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","sunnet-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","nisan-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","soz-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","nikah-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","mezuniyet-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","dogum-gunu-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","bekarliga-veda-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","acilis-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","kurumsal-etkinlik-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","evde-nisan-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","evde-soz-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","soz-nisan-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","susleme-organizasyon","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-organizasyon","etkinlik-organizasyonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","kina-tahti-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","nisan-masasi-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","sunnet-tahti-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","arka-fon-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","tag-kemer-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","gelin-yolu-susleme","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","nikah-masasi-susleme","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","masa-sandalye-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","ses-sistem-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","isik-sistem-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","sahne-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","palyanco-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","animator-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"sahne-dekor-ekipman","sisme-oyun-parki-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","dugun-fotografcisi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","dugun-video-cekimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","dis-cekim-fotograf","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","nikah-fotografcisi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","nisan-fotografcisi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","sunnet-fotografcisi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","dugun-drone-cekimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","soz-fotograf-cekimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","evlilik-teklifi-fotograf-cekimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"fotograf-ve-video","mekan-fotografcisi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","dugun-mekanlari","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","kina-mekanlari","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","nisan-mekanlari","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","soz-nisan-mekanlari","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","kir-dugunu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","dugun-salonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"etkinlik-mekanlari","davet-salonu","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","dugun-catering","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","kokteyl-catering","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","dugun-pastasi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","nisan-ikramliklari-catering","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","nisan-menusu-catering","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","nisan-pastasi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","soz-pastasi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"ikram-ve-catering","davet-catering","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"gelin-arabasi-ve-transfer","gelin-arabasi-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"gelin-arabasi-ve-transfer","sunnet-arabasi-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"gelin-arabasi-ve-transfer","limuzin-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"gelin-arabasi-ve-transfer","ustu-acik-gelin-arabasi-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"gelin-arabasi-ve-transfer","vito-gelin-arabasi-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"gelin-arabasi-ve-transfer","vip-transfer","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","gelin-makyaji","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","gelin-saci","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","gelinlik-kiralama","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","nikah-makyaji","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","nisan-makyaji","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","sac-ve-makyaj","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","gelin-sac-makyaj","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"guzellik-ve-hazirlik","kiz-isteme-makyaji","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","davetiye","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","davetiye-baski","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","dijital-davetiye","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","dugun-davetiyesi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","nikah-sekeri","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","nisan-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","dugun-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","mevlut-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","nikah-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","cicekci","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","cicek-gonderme","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","cicek-tasarimi","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
"davetiye-hediyelik-cicek","yenidogan-hediyelik","active","FINAL_CATEGORY_ACTIVE_READY_V1","v1"
